courseTerm,crn,seatCapacity,seatActual,seatRemaining,waitlistCapacity,waitlistActual,waitlistRemaining
202105,55696,50,33,17,25,0,25
202108,80745,75,75,0,30,0,30
202202,25245,65,65,0,25,6,19
202108,86105,75,75,0,30,0,30
202105,55697,50,16,34,25,0,25
202202,20643,65,64,0,25,12,13
202108,82524,75,74,1,25,0,25
202202,25244,65,32,33,25,0,25
202108,80744,50,50,0,15,0,15
202202,20642,65,60,5,25,0,25
202108,82514,70,64,6,25,0,25
202202,25261,65,32,33,25,0,25
202202,30711,65,64,1,25,0,25
202108,80746,50,31,19,15,0,15
202202,22178,65,61,4,25,0,25
202108,86145,75,73,2,25,0,25
202202,32156,65,12,53,0,0,0
202108,87776,65,63,2,0,0,0
202202,32157,50,6,44,0,0,0
202108,87778,50,45,5,0,0,0
202202,32158,50,8,42,0,0,0
202108,87779,50,15,35,0,0,0
202105,57384,227,227,0,30,0,30
202108,87780,50,16,34,0,0,0
202202,32159,50,7,43,0,0,0
202105,57093,129,130,0,30,0,30
202105,57754,106,103,3,0,0,0
202202,24911,250,248,0,55,41,14
202105,60458,96,81,15,0,0,0
202108,85733,250,250,0,0,0,0
202202,26448,250,250,0,55,49,6
202105,58833,125,109,16,0,0,0
202108,87719,250,250,0,0,0,0
202202,30218,250,250,0,50,34,16
202105,59114,40,33,7,0,0,0
202108,93270,251,251,0,0,0,0
202202,24441,100,99,0,50,34,16
202105,58836,25,28,0,5,0,5
202105,57064,25,24,1,0,0,0
202105,55500,40,33,7,0,0,0
202202,30987,40,30,10,0,0,0
202108,85158,250,250,0,0,0,0
202202,24442,250,250,0,55,52,3
202108,83582,50,42,8,0,0,0
202105,59833,25,22,3,10,0,10
202105,57400,25,10,15,0,0,0
202202,24443,250,250,0,40,40,0
202202,30989,40,19,21,0,0,0
202108,94774,50,42,8,0,0,0
202108,94085,250,250,0,0,0,0
202105,59014,45,25,20,0,0,0
202105,58843,25,19,6,10,0,10
202202,28693,175,171,4,0,0,0
202108,85159,250,250,0,0,0,0
202105,58237,5,1,4,0,0,0
202108,91605,40,28,12,0,0,0
202202,30990,40,19,21,0,0,0
202105,58844,25,23,2,5,0,5
202202,28703,25,24,0,5,5,0
202105,58441,10,0,10,0,0,0
202108,90771,176,176,0,0,0,0
202108,83794,40,28,12,0,0,0
202105,58845,16,17,0,5,0,5
202202,33589,50,30,20,0,0,0
202108,90776,25,22,3,10,0,10
202105,52481,27,21,6,0,0,0
202105,60451,50,46,4,0,0,0
202202,28694,25,24,0,10,8,2
202108,90772,27,26,1,10,0,10
202105,60236,5,5,0,25,0,25
202105,57401,25,6,19,0,0,0
202105,60235,25,24,1,25,0,25
202105,58369,30,17,13,0,0,0
202108,90780,25,25,0,10,0,10
202202,28707,25,25,0,5,5,0
202105,59015,45,14,31,0,0,0
202108,90775,25,24,1,10,0,10
202105,54627,5,1,4,0,0,0
202202,28702,25,24,0,5,5,0
202105,58238,5,3,2,0,0,0
202202,27696,25,21,4,25,0,25
202105,54372,5,0,5,0,0,0
202108,89349,25,25,0,25,0,25
202108,90774,25,26,0,10,0,10
202202,28696,25,24,0,5,5,0
202105,58867,40,36,4,0,0,0
202202,33787,25,11,14,25,0,25
202105,54775,5,0,5,0,0,0
202202,28704,25,25,0,10,9,1
202108,90777,26,28,0,10,0,10
202108,91541,18,14,4,25,0,25
202105,58868,20,19,1,0,0,0
202105,55200,5,4,1,0,0,0
202202,29132,18,17,0,25,16,9
202202,28695,25,25,0,5,3,2
202105,58886,20,17,3,0,0,0
202108,90773,25,25,0,10,0,10
202108,93009,30,26,4,25,0,25
202202,32894,25,7,18,25,0,25
202202,28764,16,9,7,0,0,0
202105,54378,5,0,5,0,0,0
